year,qtot_obs,qbase_obs
1965,562,282
1966,583,290
1967,701,350
1968,477,241
1969,676,337
1970,579,291
1971,533,265
1972,913,456
1973,827,412
1974,769,386
1975,676,335
1976,782,395
1977,642,319
1978,587,295
1979,884,437
1980,657,333
1981,827,414
1982,533,261
1983,799,404
1984,672,335
1985,553,279
1986,622,311
1987,514,256
1988,706,353
1989,583,292
1990,691,343
1991,569,287
1992,633,316
1993,736,367
1994,689,346
1995,537,269
1996,858,426
1997,616,312
1998,604,300
1999,668,333
2000,696,348
2001,497,248
2002,522,263
2003,715,353
2004,556,279
2005,727,366
2006,1004,499
2007,538,271
2008,825,408
2009,848,429
2010,641,319
2011,739,369
2012,505,254
2013,760,381
2014,812,404
